"","km_sq","easting","northing","Presence"
"1","NM5664",156050,764050,1
"2","NM6061",160500,761500,1
"3","NM6773",167850,773950,1
"4","NM6869",168550,769650,1
"5","NM6951",169500,751500,1
"6","NM7050",170500,750500,1
"7","NM9041",190425,741695,1
"8","NM9129",191085,729765,1
"9","NM9130",191155,730605,1
"10","NM9247",192435,747295,1
"11","NM9531",195850,731650,1
"12","NM9832",198950,732950,1
"13","NM9929",199655,729955,1
"14","NM9945",199500,745500,1
"15","NN0045",200050,745550,1
"16","NN0056",200650,756850,1
"17","NN0127",201150,727650,1
"18","NN0326",203350,726150,1
"19","NN0348",203250,748850,1
"20","NN0349",203250,749050,1
"21","NN0428",204500,728500,1
"22","NN0429",204500,729500,1
"23","NN0448",204050,748950,1
"24","NN0449",204350,749950,1
"25","NN0450",204550,750050,1
"26","NN0470",204650,770150,1
"27","NN0571",205850,771050,1
"28","NN0723",207665,723875,1
"29","NN1084",210500,784500,1
"30","NN1158",211450,758150,1
"31","NN1173",211950,773950,1
"32","NN1191",211935,791405,1
"33","NN1283",212650,783150,1
"34","NN1291",212085,791455,1
"35","NN1383",213500,783500,1
"36","NN1476",214050,776450,1
"37","NN1481",214550,781950,1
"38","NN1489",214950,789250,1
"39","NN1889",218750,789050,1
"40","NN2080",220850,780950,1
"41","NN2381",223350,781550,1
