"","km_sq","easting","northing","nR","nSpp","minyear","maxyear"
"577","NS2884",228000,684000,3,6,2004,2013
"578","NS2699",226000,699000,6,4,2004,2010
"579","NS2899",228000,699000,3,7,2004,2010
"580","NS3098",230000,698000,4,5,2004,2010
"581","NS2689",226000,689000,3,2,2004,2014
"582","NS2690",226000,690000,3,3,2004,2011
"583","NS3086",230000,686000,4,2,2004,2011
"584","NS2983",229000,683000,4,4,2004,2013
"585","NN3227",232000,727000,3,3,2004,2013
"586","NR6690",166000,690000,3,10,2004,2004
"587","NM4044",140000,744000,9,7,2004,2015
"588","NR7421",174000,621000,13,11,2004,2013
"589","NR9937",199000,637000,3,7,2004,2016
"590","NR7894",178000,694000,5,4,2004,2017
"591","NM7031",170000,731000,5,8,2004,2014
"592","NM5829",158000,729000,3,2,2004,2015
"593","NM2723",127000,723000,5,6,2004,2016
"594","NM2824",128000,724000,10,6,2004,2016
"595","NM4753",147000,753000,3,3,2004,2010
"596","NM4250",142000,750000,6,7,2004,2017
"597","NM4251",142000,751000,9,9,2004,2013
"598","NM6432",164000,732000,8,10,2004,2016
"599","NM5055",150000,755000,32,14,2004,2017
"600","NM4432",144000,732000,3,4,2004,2010
"601","NM3446",134000,746000,9,8,2004,2015
"602","NM3546",135000,746000,12,8,2004,2014
"603","NM4552",145000,752000,5,9,2004,2017
"604","NM3347",133000,747000,25,9,2004,2012
"605","NM2622",126000,722000,3,2,2004,2015
"606","NM5438",154000,738000,6,5,2004,2016
"607","NM6224",162000,724000,10,8,2004,2016
"608","NM6830",168000,730000,10,8,2004,2014
"609","NR7831",178000,631000,4,6,2004,2014
"610","NR6736",167000,636000,3,4,2004,2009
"611","NR7633",176000,633000,3,5,2004,2007
"612","NR7836",178000,636000,4,3,2004,2017
"613","NR7025",170000,625000,5,8,2004,2007
"614","NR7030",170000,630000,28,13,2004,2016
"615","NR7131",171000,631000,30,10,2004,2016
"616","NR7231",172000,631000,7,8,2004,2016
"617","NR6723",167000,623000,5,2,2004,2014
"618","NR6722",167000,622000,6,4,2004,2014
"619","NR6822",168000,622000,11,8,2004,2016
"620","NR7532",175000,632000,3,3,2004,2007
"621","NR7533",175000,633000,3,3,2004,2007
"622","NR7731",177000,631000,3,4,2004,2014
"623","NR7832",178000,632000,3,3,2004,2010
"624","NR7931",179000,631000,9,12,2004,2011
"625","NM9817",198000,717000,25,9,2004,2016
"626","NM9918",199000,718000,26,8,2004,2016
"627","NR7282",172000,682000,38,11,2004,2016
"628","NM8827",188000,727000,10,8,2004,2017
"629","NM2742",127000,742000,10,5,2004,2016
"630","NM4652",146000,752000,16,11,2004,2012
"631","NM5129",151000,729000,6,7,2004,2013
"632","NM3021",130000,721000,3,3,2004,2013
"633","NM5544",155000,744000,3,6,2004,2010
"634","NM4627",146000,727000,7,11,2004,2016
"635","NM4327",143000,727000,3,6,2004,2011
"636","NN2624",226000,724000,3,1,2005,2013
"637","NN2724",227000,724000,3,2,2005,2013
"638","NN2726",227000,726000,5,1,2005,2013
"639","NN2525",225000,725000,3,2,2005,2013
"640","NN2552",225000,752000,9,1,2005,2015
"641","NM8441",184000,741000,28,14,2006,2016
"642","NM8541",185000,741000,17,9,2006,2012
"643","NH2912",229000,812000,32,14,2005,2017
"644","NM4783",147000,783000,5,6,2005,2017
"645","NG5809",158000,809000,26,10,2005,2013
"646","NM6487",164000,787000,4,6,2005,2013
"647","NM6586",165000,786000,5,7,2005,2017
"648","NM6588",165000,788000,3,1,2005,2017
"649","NM6872",168000,772000,4,6,2005,2012
"650","NN0359",203000,759000,3,2,2005,2008
"651","NM9665",196000,765000,4,9,2005,2016
"652","NM6774",167000,774000,8,7,2005,2007
"653","NM6773",167000,773000,5,4,2005,2005
"654","NM6965",169000,765000,8,5,2005,2014
"655","NM7462",174000,762000,7,11,2005,2014
"656","NN0378",203000,778000,4,7,2005,2007
"657","NN1371",213000,771000,4,8,2005,2014
"658","NM7264",172000,764000,7,8,2005,2017
"659","NN1957",219000,757000,3,1,2005,2009
"660","NG2204",122000,804000,3,5,2005,2010
"661","NM4267",142000,767000,3,9,2006,2016
"662","NM6772",167000,772000,3,6,2006,2012
"663","NH2211",222000,811000,3,2,2006,2007
"664","NM4785",147000,785000,3,3,2006,2008
"665","NM4890",148000,790000,3,2,2006,2015
"666","NN2170",221000,770000,4,1,2006,2011
"667","NM8061",180000,761000,4,5,2006,2017
"668","NM6467",164000,767000,3,7,2006,2010
"669","NM8062",180000,762000,3,4,2006,2017
"670","NM6445",164000,745000,3,7,2006,2012
"671","NM6590",165000,790000,10,6,2006,2015
"672","NM8162",181000,762000,11,7,2006,2017
"673","NN0858",208000,758000,23,9,2006,2017
"674","NN1058",210000,758000,9,6,2006,2015
"675","NN0560",205000,760000,11,9,2006,2014
"676","NM9756",197000,756000,3,3,2006,2012
"677","NM9482",194000,782000,3,1,2006,2014
"678","NM9563",195000,763000,3,5,2006,2014
"679","NG2506",125000,806000,3,2,2006,2010
"680","NG2605",126000,805000,3,7,2006,2013
"681","NN1988",219000,788000,3,3,2006,2017
"682","NR6841",168000,641000,4,6,2005,2016
"683","NR8039",180000,639000,7,7,2005,2013
"684","NR7132",171000,632000,7,7,2005,2013
"685","NR9838",198000,638000,11,9,2005,2014
"686","NR9938",199000,638000,4,7,2005,2017
"687","NM9042",190000,742000,8,7,2005,2014
"688","NM8711",187000,711000,5,6,2005,2016
"689","NR8688",186000,688000,6,5,2005,2013
"690","NS1749",217000,649000,7,7,2005,2017
"691","NR7487",174000,687000,5,4,2005,2017
"692","NM9825",198000,725000,3,3,2005,2007
"693","NM3645",136000,745000,5,7,2005,2014
"694","NS3063",230000,663000,11,6,2005,2015
"695","NS3163",231000,663000,65,13,2005,2016
"696","NS3072",230000,672000,4,5,2005,2010
"697","NS2472",224000,672000,60,11,2005,2017
"698","NS0366",203000,666000,4,3,2005,2010
"699","NS0466",204000,666000,3,4,2005,2008
"700","NS2156",221000,656000,5,4,2005,2007
"701","NS2074",220000,674000,4,7,2005,2013
"702","NS2365",223000,665000,5,5,2005,2017
"703","NM0247",102000,747000,7,4,2005,2017
"704","NL9843",98000,743000,14,6,2005,2017
"705","NM0346",103000,746000,7,4,2005,2017
"706","NM0248",102000,748000,7,5,2005,2016
"707","NM0747",107000,747000,5,4,2005,2014
"708","NM0445",104000,745000,38,6,2005,2017
"709","NL9440",94000,740000,42,8,2005,2017
"710","NL9945",99000,745000,20,7,2005,2017
"711","NM5252",152000,752000,7,8,2005,2015
"712","NM9145",191000,745000,7,5,2005,2017
"713","NR3071",130000,671000,4,9,2005,2013
"714","NR4652",146000,652000,3,3,2005,2013
"715","NM4438",144000,738000,4,8,2005,2014
"716","NM6024",160000,724000,10,7,2005,2016
"717","NR7791",177000,691000,4,4,2005,2012
"718","NR6980",169000,680000,3,5,2005,2017
"719","NR3791",137000,691000,10,8,2005,2016
"720","NR3491",134000,691000,12,12,2005,2015
"721","NR3892",138000,692000,4,4,2005,2007
"722","NR3891",138000,691000,6,6,2005,2012
"723","NR3997",139000,697000,22,14,2005,2015
"724","NR3996",139000,696000,19,12,2005,2015
"725","NR3691",136000,691000,5,7,2005,2012
"726","NR3695",136000,695000,10,7,2005,2012
"727","NR3893",138000,693000,4,7,2005,2016
"728","NR3689",136000,689000,11,8,2005,2016
"729","NR3690",136000,690000,5,3,2005,2012
"730","NR3896",138000,696000,6,4,2005,2012
"731","NM3023",130000,723000,4,5,2005,2015
"732","NM2843",128000,743000,3,3,2005,2014
"733","NR4096",140000,696000,8,8,2005,2012
"734","NM9136",191000,736000,9,7,2005,2017
"735","NR3591",135000,691000,16,12,2005,2013
"736","NR4199",141000,699000,9,10,2005,2013
"737","NR3797",137000,697000,5,4,2005,2010
"738","NR3995",139000,695000,7,7,2005,2011
"739","NR4095",140000,695000,5,7,2005,2013
"740","NM8530",185000,730000,4,6,2005,2017
"741","NM8340",183000,740000,3,5,2005,2011
"742","NM7333",173000,733000,17,12,2005,2016
"743","NR3897",138000,697000,4,5,2005,2016
"744","NM3447",134000,747000,41,13,2005,2017
"745","NM3545",135000,745000,4,7,2005,2014
"746","NM3547",135000,747000,5,7,2005,2014
"747","NM7137",171000,737000,115,13,2006,2017
"748","NM2159",121000,759000,3,2,2006,2014
"749","NM0749",107000,749000,6,4,2006,2016
"750","NM2055",120000,755000,4,3,2006,2014
"751","NL9540",95000,740000,4,3,2006,2017
"752","NL9640",96000,740000,12,6,2006,2017
"753","NM1757",117000,757000,4,6,2006,2014
"754","NM2463",124000,763000,3,2,2006,2014
"755","NM2157",121000,757000,3,5,2006,2012
"756","NM2257",122000,757000,10,6,2006,2017
"757","NM1253",112000,753000,3,4,2006,2013
"758","NM1453",114000,753000,7,6,2006,2014
"759","NM2156",121000,756000,5,5,2006,2014
"760","NM1959",119000,759000,4,4,2006,2014
"761","NM0444",104000,744000,5,4,2006,2012
"762","NM1655",116000,755000,5,4,2006,2015
"763","NM2763",127000,763000,5,9,2006,2014
"764","NL9541",95000,741000,15,6,2006,2017
"765","NL9641",96000,741000,16,4,2006,2017
"766","NM1553",115000,753000,12,7,2006,2014
"767","NM2764",127000,764000,3,3,2006,2014
"768","NM1554",115000,754000,6,4,2006,2014
"769","NM0548",105000,748000,7,2,2006,2017
"770","NM3235",132000,735000,9,3,2006,2014
"771","NM4356",143000,756000,9,10,2006,2013
"772","NM4553",145000,753000,5,10,2006,2010
"773","NM7701",177000,701000,12,10,2006,2017
"774","NM7700",177000,7e+05,3,11,2006,2007
"775","NR8190",181000,690000,3,2,2006,2017
"776","NS1947",219000,647000,4,6,2006,2017
"777","NR7891",178000,691000,6,5,2006,2015
"778","NM8228",182000,728000,9,9,2006,2017
"779","NM8227",182000,727000,6,5,2006,2017
"780","NM8643",186000,743000,3,5,2006,2013
"781","NM8026",180000,726000,5,9,2006,2014
"782","NM7926",179000,726000,3,2,2006,2014
"783","NM8542",185000,742000,4,3,2006,2016
"784","NM8845",188000,745000,4,3,2006,2016
"785","NM8543",185000,743000,3,4,2006,2010
"786","NM8844",188000,744000,3,2,2006,2016
"787","NR9492",194000,692000,4,3,2006,2016
"788","NR9897",198000,697000,9,5,2006,2017
"789","NR3693",136000,693000,5,7,2006,2012
"790","NR3694",136000,694000,6,10,2006,2013
"791","NR3696",136000,696000,9,5,2006,2012
"792","NR3898",138000,698000,14,10,2006,2014
"793","NR4097",140000,697000,14,8,2006,2013
"794","NR4099",140000,699000,6,4,2006,2012
"795","NR4198",141000,698000,7,6,2006,2012
"796","NR3488",134000,688000,6,5,2006,2015
"797","NR3587",135000,687000,4,4,2006,2012
"798","NR3688",136000,688000,3,4,2006,2012
"799","NM3751",137000,751000,10,10,2006,2016
"800","NS3064",230000,664000,5,5,2006,2014
"801","NS1759",217000,659000,3,7,2006,2009
"802","NS3073",230000,673000,3,6,2006,2014
"803","NS1750",217000,650000,5,7,2006,2017
"804","NS0465",204000,665000,3,1,2006,2008
"805","NS1657",216000,657000,4,7,2006,2017
"806","NM4239",142000,739000,7,6,2006,2014
"807","NM3945",139000,745000,5,6,2006,2010
"808","NM8632",186000,732000,4,4,2006,2017
"809","NS1584",215000,684000,3,5,2006,2016
"810","NS3037",230000,637000,11,11,2006,2015
"811","NS3234",232000,634000,3,7,2006,2017
"812","NS3232",232000,632000,5,7,2006,2017
"813","NS3233",232000,633000,4,8,2006,2017
"814","NN2427",224000,727000,3,4,2006,2013
"815","NN1429",214000,729000,4,5,2006,2009
"816","NS2577",225000,677000,4,4,2006,2013
"817","NL9738",97000,738000,3,4,2006,2014
"818","NM0347",103000,747000,5,3,2006,2017
"819","NM4556",145000,756000,21,13,2006,2014
"820","NM4752",147000,752000,3,4,2006,2011
"821","NM8939",189000,739000,5,4,2006,2017
"822","NM8121",181000,721000,6,9,2006,2017
"823","NM9037",190000,737000,5,9,2006,2009
"824","NM8300",183000,7e+05,10,8,2006,2017
"825","NR8297",182000,697000,4,5,2006,2015
"826","NM8011",180000,711000,3,7,2006,2013
"827","NR8491",184000,691000,4,4,2006,2017
"828","NR8396",183000,696000,7,10,2006,2012
"829","NM8517",185000,717000,3,4,2006,2014
"830","NN2327",223000,727000,5,4,2006,2014
"831","NM9944",199000,744000,5,8,2006,2010
"832","NM9544",195000,744000,7,10,2006,2012
"833","NR8092",180000,692000,3,4,2006,2013
"834","NM8412",184000,712000,6,10,2006,2012
"835","NM8221",182000,721000,3,3,2006,2017
"836","NN1227",212000,727000,4,5,2006,2010
"837","NM9034",190000,734000,4,4,2006,2017
"838","NM9040",190000,740000,10,8,2006,2017
"839","NS0856",208000,656000,6,8,2006,2016
"840","NM4257",142000,757000,16,10,2006,2016
"841","NM5538",155000,738000,4,8,2006,2017
"842","NM5621",156000,721000,4,9,2006,2014
"843","NM5421",154000,721000,4,7,2006,2014
"844","NM7514",175000,714000,16,13,2006,2017
"845","NN1361",213000,761000,7,5,2006,2016
"846","NR6879",168000,679000,3,8,2006,2014
"847","NM8834",188000,734000,3,5,2006,2014
"848","NR7524",175000,624000,5,3,2006,2009
"849","NR2066",120000,666000,4,7,2006,2016
"850","NM9739",197000,739000,4,4,2006,2014
"851","NN1174",211000,774000,4,9,2007,2011
"852","NM6796",167000,796000,6,13,2007,2014
"853","NM6577",165000,777000,6,12,2007,2013
"854","NM6865",168000,765000,3,4,2007,2014
"855","NM6476",164000,776000,3,7,2007,2017
"856","NM6477",164000,777000,5,9,2007,2017
"857","NM4468",144000,768000,7,10,2007,2013
"858","NM6671",166000,771000,7,8,2007,2017
"859","NG7015",170000,815000,4,5,2007,2015
"860","NG5808",158000,808000,7,5,2007,2017
"861","NM6897",168000,797000,15,11,2007,2017
"862","NM9260",192000,760000,3,2,2007,2012
"863","NN0469",204000,769000,3,4,2007,2013
"864","NN0261",202000,761000,13,6,2007,2017
"865","NN0361",203000,761000,43,14,2007,2017
"866","NM9963",199000,763000,3,5,2007,2016
"867","NM9560",195000,760000,6,10,2007,2015
"868","NM6744",167000,744000,6,8,2007,2015
"869","NN1961",219000,761000,12,6,2007,2015
"870","NN1461",214000,761000,4,6,2007,2013
"871","NM6686",166000,786000,11,10,2007,2017
"872","NG6304",163000,804000,3,3,2007,2017
"873","NN1076",210000,776000,12,7,2007,2017
"874","NM6567",165000,767000,3,5,2007,2016
"875","NR6632",166000,632000,4,3,2007,2016
"876","NR8138",181000,638000,6,2,2007,2017
"877","NN0362",203000,762000,4,8,2007,2014
"878","NN0363",203000,763000,8,12,2007,2014
"879","NN0364",203000,764000,3,6,2007,2014
"880","NN0877",208000,777000,4,9,2008,2008
"881","NN1375",213000,775000,5,9,2008,2017
"882","NN0057",2e+05,757000,3,5,2008,2010
"883","NN0857",208000,757000,3,2,2008,2015
"884","NN0078",2e+05,778000,3,5,2008,2008
"885","NH1501",215000,801000,4,5,2008,2017
"886","NN1483",214000,783000,13,13,2008,2012
"887","NM6896",168000,796000,5,6,2008,2017
"888","NN1161",211000,761000,5,7,2008,2013
"889","NM6692",166000,792000,6,1,2008,2008
"890","NM8654",186000,754000,3,6,2008,2012
"891","NM9763",197000,763000,7,11,2008,2016
"892","NG6303",163000,803000,4,4,2008,2010
"893","NM7961",179000,761000,3,6,2008,2017
"894","NN2057",220000,757000,3,1,2005,2009
"895","NN1581",215000,781000,10,13,2008,2015
"896","NN1283",212000,783000,12,11,2004,2017
"897","NM6284",162000,784000,4,10,2008,2014
"898","NM4467",144000,767000,3,5,2008,2016
"899","NG6113",161000,813000,3,4,2008,2013
"900","NM6984",169000,784000,3,3,2008,2017
"901","NN1449",214000,749000,3,4,2008,2013
"902","NM4584",145000,784000,3,2,2005,2012
"903","NM4790",147000,790000,3,5,2008,2015
"904","NR6927",169000,627000,19,9,2007,2014
"905","NM3318",133000,718000,4,4,2007,2010
"906","NM3854",138000,754000,5,7,2007,2016
"907","NM3953",139000,753000,4,5,2007,2016
"908","NR2741",127000,641000,9,10,2007,2017
"909","NM3753",137000,753000,4,7,2007,2017
"910","NM3346",133000,746000,3,3,2007,2009
"911","NM3549",135000,749000,6,4,2007,2010
"912","NM3648",136000,748000,8,7,2007,2009
"913","NM3748",137000,748000,3,3,2007,2008
"914","NS3039",230000,639000,3,5,2007,2016
"915","NM8419",184000,719000,7,7,2007,2014
"916","NS0266",202000,666000,3,2,2007,2007
"917","NS1153",211000,653000,3,8,2007,2008
"918","NR3890",138000,690000,11,9,2007,2016
"919","NS0037",2e+05,637000,4,3,2007,2014
"920","NM8629",186000,729000,8,8,2007,2017
"921","NM8704",187000,704000,6,3,2007,2017
"922","NS2372",223000,672000,6,6,2007,2012
"923","NS2052",220000,652000,17,10,2007,2016
"924","NR3590",135000,690000,8,11,2007,2013
"925","NR3592",135000,692000,7,5,2007,2015
"926","NR3796",137000,696000,3,2,2007,2012
"927","NR3991",139000,691000,3,5,2007,2011
"928","NR3992",139000,692000,3,6,2007,2012
"929","NR4299",142000,699000,7,5,2007,2012
"930","NR3386",133000,686000,3,8,2007,2012
"931","NR9822",198000,622000,3,2,2007,2008
"932","NR8687",186000,687000,10,6,2007,2015
"933","NS3164",231000,664000,5,3,2007,2012
"934","NS3268",232000,668000,3,3,2007,2010
"935","NM8037",180000,737000,8,7,2007,2017
"936","NM8137",181000,737000,4,6,2007,2016
"937","NM9135",191000,735000,4,6,2007,2014
"938","NM4351",143000,751000,15,10,2007,2014
"939","NL9445",94000,745000,8,5,2007,2017
"940","NL9947",99000,747000,6,4,2007,2016
"941","NS1968",219000,668000,3,3,2007,2016
"942","NM7410",174000,710000,6,7,2007,2014
"943","NS1676",216000,676000,6,6,2007,2017
"944","NS0038",2e+05,638000,3,4,2007,2010
"945","NN3220",232000,720000,3,7,2007,2007
"946","NM9854",198000,754000,6,8,2007,2013
"947","NS0174",201000,674000,3,5,2007,2012
"948","NS1052",210000,652000,3,6,2007,2010
"949","NM8005",180000,705000,3,6,2007,2017
"950","NR9269",192000,669000,4,5,2007,2009
"951","NN3235",232000,735000,3,3,2007,2013
"952","NN3230",232000,730000,4,2,2007,2016
"953","NN2742",227000,742000,3,7,2007,2017
"954","NS0133",201000,633000,3,2,2007,2010
"955","NM3647",136000,747000,8,7,2007,2013
"956","NR9771",197000,671000,14,10,2007,2012
"957","NR9671",196000,671000,3,4,2007,2010
"958","NM7927",179000,727000,4,9,2007,2014
"959","NM8127",181000,727000,3,5,2007,2014
"960","NR6525",165000,625000,10,7,2008,2013
"961","NM4558",145000,758000,7,10,2008,2016
"962","NM5350",153000,750000,3,4,2008,2009
"963","NM5521",155000,721000,4,11,2008,2016
"964","NM7038",170000,738000,5,9,2008,2016
"965","NM7236",172000,736000,10,7,2008,2016
"966","NM7535",175000,735000,8,7,2008,2014
"967","NM6641",166000,741000,10,11,2008,2017
"968","NM5341",153000,741000,6,10,2008,2014
"969","NM5441",154000,741000,7,11,2008,2016
"970","NM5429",154000,729000,4,3,2008,2016
"971","NM7235",172000,735000,5,5,2008,2016
"972","NM7233",172000,733000,8,4,2008,2013
"973","NM7335",173000,735000,3,2,2008,2008
"974","NM7432",174000,732000,11,11,2008,2015
"975","NS0225",202000,625000,5,9,2008,2017
"976","NM7037",170000,737000,3,5,2008,2010
"977","NM3846",138000,746000,5,4,2008,2010
"978","NM3947",139000,747000,4,5,2008,2009
"979","NM3651",136000,751000,9,10,2008,2016
"980","NM3948",139000,748000,3,5,2008,2010
"981","NM3746",137000,746000,13,8,2008,2016
"982","NM3646",136000,746000,3,5,2008,2010
"983","NR9351",193000,651000,6,17,2008,2016
"984","NM9146",191000,746000,9,9,2008,2017
"985","NM9141",191000,741000,4,3,2008,2017
"986","NM8627",186000,727000,3,3,2008,2016
"987","NM9830",198000,730000,8,6,2008,2015
"988","NN0130",201000,730000,5,8,2008,2017
"989","NS0221",202000,621000,3,2,2008,2011
"990","NS1952",219000,652000,25,13,2008,2014
"991","NM8745",187000,745000,6,6,2008,2017
"992","NM9816",198000,716000,3,3,2008,2012
"993","NR8179",181000,679000,3,1,2008,2011
"994","NS3075",230000,675000,3,3,2008,2015
"995","NS0274",202000,674000,3,5,2008,2015
"996","NM8020",180000,720000,4,5,2008,2014
"997","NR8828",188000,628000,4,4,2008,2017
"998","NS2186",221000,686000,4,2,2008,2011
"999","NM0244",102000,744000,3,1,2008,2015
"1000","NL9545",95000,745000,5,3,2008,2017
"1001","NR8829",188000,629000,3,4,2008,2011
"1002","NM9134",191000,734000,6,5,2008,2017
"1003","NM7936",179000,736000,5,6,2008,2017
"1004","NS2741",227000,641000,6,11,2008,2015
"1005","NS1682",216000,682000,3,7,2008,2017
"1006","NM9246",192000,746000,3,4,2008,2017
"1007","NR9449",194000,649000,6,9,2008,2014
"1008","NR9452",194000,652000,4,10,2008,2014
"1009","NM9133",191000,733000,4,4,2008,2014
"1010","NM8828",188000,728000,3,3,2008,2017
"1011","NM5034",150000,734000,3,5,2008,2010
"1012","NM5135",151000,735000,3,3,2008,2010
"1013","NN2625",226000,725000,3,1,2008,2013
"1014","NS0425",204000,625000,3,4,2008,2017
"1015","NR8694",186000,694000,4,6,2008,2013
"1016","NN3028",230000,728000,3,2,2008,2013
"1017","NH2110",221000,810000,3,6,2008,2013
"1018","NM9247",192000,747000,5,5,2009,2016
"1019","NG7600",176000,8e+05,3,2,2009,2016
"1020","NN2081",220000,781000,4,4,2009,2012
"1021","NN0943",209000,743000,4,5,2009,2015
"1022","NN1043",210000,743000,3,4,2009,2013
"1023","NN1044",210000,744000,5,7,2009,2013
"1024","NN1145",211000,745000,4,5,2009,2013
"1025","NN1084",210000,784000,16,11,2009,2017
"1026","NN0759",207000,759000,3,5,2009,2013
"1027","NN0960",209000,760000,9,10,2009,2014
"1028","NN1378",213000,778000,7,8,2009,2014
"1029","NN1477",214000,777000,7,9,2009,2017
"1030","NM6672",166000,772000,4,5,2009,2016
"1031","NN0860",208000,760000,3,4,2003,2013
"1032","NM7883",178000,783000,5,8,2009,2014
"1033","NM9755",197000,755000,23,12,2009,2016
"1034","NH1301",213000,801000,4,6,2009,2016
"1035","NM9891",198000,791000,10,8,2009,2017
"1036","NN0884",208000,784000,6,10,2009,2017
"1037","NN2082",220000,782000,3,2,2009,2015
"1038","NM7411",174000,711000,8,6,2009,2017
"1039","NR6947",169000,647000,3,5,2009,2015
"1040","NM4557",145000,757000,58,16,2009,2016
"1041","NM7434",174000,734000,5,8,2009,2013
"1042","NM6441",164000,741000,3,5,2009,2015
"1043","NM6739",167000,739000,3,3,2009,2017
"1044","NM5054",150000,754000,3,3,2009,2016
"1045","NS1063",210000,663000,9,5,2009,2014
"1046","NS1058",210000,658000,3,1,2009,2009
"1047","NM3719",137000,719000,6,6,2009,2013
"1048","NM3845",138000,745000,4,6,2009,2014
"1049","NM4453",144000,753000,6,11,2009,2017
"1050","NM3219",132000,719000,4,5,2009,2011
"1051","NM4118",141000,718000,3,6,2009,2013
"1052","NM9946",199000,746000,17,9,2009,2016
"1053","NN2344",223000,744000,3,2,2009,2011
"1054","NS3162",231000,662000,27,9,2009,2016
"1055","NS2864",228000,664000,4,4,2009,2014
"1056","NS2964",229000,664000,3,2,2009,2014
"1057","NM4757",147000,757000,15,12,2009,2016
"1058","NS1748",217000,648000,6,7,2009,2017
"1059","NM4954",149000,754000,5,8,2009,2017
"1060","NM4054",140000,754000,4,7,2009,2016
"1061","NM6123",161000,723000,4,6,2009,2015
"1062","NS2057",220000,657000,5,8,2009,2017
"1063","NM9236",192000,736000,5,5,2009,2017
"1064","NM7412",174000,712000,4,5,2009,2014
"1065","NM7407",174000,707000,4,5,2009,2014
"1066","NM8724",187000,724000,3,5,2009,2014
"1067","NM9231",192000,731000,4,5,2009,2013
"1068","NM8520",185000,720000,6,11,2009,2016
"1069","NM8620",186000,720000,6,9,2009,2016
"1070","NM8120",181000,720000,4,4,2009,2012
"1071","NM7819",178000,719000,7,6,2009,2017
"1072","NM8400",184000,7e+05,11,6,2009,2017
"1073","NM8401",184000,701000,18,12,2009,2017
"1074","NM8829",188000,729000,6,6,2009,2016
"1075","NN0132",201000,732000,20,9,2009,2013
"1076","NM8312",183000,712000,4,2,2009,2017
"1077","NM7417",174000,717000,13,10,2009,2017
"1078","NM7516",175000,716000,6,5,2009,2016
"1079","NM4100",141000,7e+05,5,4,2009,2012
"1080","NR3593",135000,693000,7,8,2009,2014
"1081","NR3687",136000,687000,3,3,2009,2012
"1082","NR3787",137000,687000,3,2,2009,2012
"1083","NR3789",137000,689000,4,5,2009,2012
"1084","NR3994",139000,694000,11,6,2009,2015
"1085","NN0248",202000,748000,3,6,2009,2013
"1086","NN2002",220000,702000,30,4,2009,2009
"1087","NL9946",99000,746000,5,5,2009,2017
"1088","NR8558",185000,658000,4,3,2009,2017
"1089","NR8657",186000,657000,3,3,2009,2011
"1090","NS2171",221000,671000,3,4,2009,2011
"1091","NS0087",2e+05,687000,3,5,2009,2017
"1092","NS2466",224000,666000,3,2,2009,2011
"1093","NR9369",193000,669000,3,3,2009,2010
"1094","NR9873",198000,673000,3,4,2009,2016
"1095","NS3355",233000,655000,7,9,2009,2017
"1096","NL9547",95000,747000,4,2,2009,2010
"1097","NM0245",102000,745000,4,3,2009,2015
"1098","NN2342",223000,742000,4,4,2009,2013
"1099","NM8528",185000,728000,15,12,2009,2017
"1100","NS3231",232000,631000,6,7,2009,2017
"1101","NM9931",199000,731000,9,5,2009,2017
"1102","NM9332",193000,732000,5,6,2009,2017
"1103","NM2161",121000,761000,4,6,2009,2014
"1104","NM7515",175000,715000,6,5,2009,2017
"1105","NM8019",180000,719000,5,5,2009,2014
"1106","NR8187",181000,687000,3,4,2009,2016
"1107","NS3262",232000,662000,3,3,2009,2014
"1108","NN3009",230000,709000,3,3,2009,2016
"1109","NM9137",191000,737000,13,9,2009,2017
"1110","NR7525",175000,625000,3,4,2009,2010
"1111","NF8113",81000,813000,6,9,2009,2017
"1112","NH2210",222000,810000,3,7,2010,2017
"1113","NM6161",161000,761000,4,5,2010,2013
"1114","NM5163",151000,763000,3,4,2010,2015
"1115","NM6685",166000,785000,4,4,2010,2017
"1116","NM6260",162000,760000,3,5,2010,2010
"1117","NN1059",210000,759000,7,3,2010,2017
"1118","NN0958",209000,758000,3,2,2010,2017
"1119","NN1677",216000,777000,5,7,2010,2017
"1120","NN1889",218000,789000,5,9,2010,2016
"1121","NN1669",216000,769000,3,2,2010,2014
"1122","NM6551",165000,751000,6,7,2010,2017
"1123","NN1158",211000,758000,7,7,2010,2014
"1124","NN1173",211000,773000,5,6,2010,2016
"1125","NM8147",181000,747000,8,11,2010,2016
"1126","NM8146",181000,746000,6,5,2010,2016
"1127","NM8145",181000,745000,6,7,2010,2016
"1128","NM8246",182000,746000,3,3,2010,2015
"1129","NR8261",182000,661000,3,2,2010,2012
"1130","NM6125",161000,725000,5,6,2010,2016
"1131","NM5548",155000,748000,7,8,2010,2016
"1132","NM4746",147000,746000,3,2,2010,2016
"1133","NM5351",153000,751000,4,6,2010,2013
"1134","NS3241",232000,641000,19,9,2010,2017
"1135","NM3119",131000,719000,3,8,2010,2011
"1136","NM7534",175000,734000,3,3,2010,2015
"1137","NM7331",173000,731000,4,4,2010,2014
"1138","NM5229",152000,729000,5,5,2010,2013
"1139","NM5253",152000,753000,5,4,2010,2017
"1140","NR8843",188000,643000,3,3,2010,2014
"1141","NN2307",223000,707000,5,3,2010,2014
"1142","NM9738",197000,738000,3,4,2010,2013
"1143","NN1805",218000,705000,3,3,2010,2014
"1144","NM5140",151000,740000,3,3,2010,2013
"1145","NM5226",152000,726000,3,4,2010,2016
"1146","NM8727",187000,727000,6,9,2010,2016
"1147","NS2046",220000,646000,11,10,2010,2015
"1148","NS2243",222000,643000,3,6,2010,2013
"1149","NS3143",231000,643000,3,5,2010,2013
"1150","NR8655",186000,655000,3,5,2010,2010
