"","km_sq","easting","northing","nR","nSpp","minyear","maxyear"
"132","NM6670",166000,770000,5,8,2001,2013
"133","NM4469",144000,769000,15,9,2001,2016
"134","NM5269",152000,769000,16,10,2001,2013
"135","NN2089",220000,789000,4,5,2001,2006
"136","NM9380",193000,780000,12,4,2001,2015
"137","NN0280",202000,780000,8,16,2001,2016
"138","NN0282",202000,782000,4,4,2001,2016
"139","NM9182",191000,782000,4,8,2001,2012
"140","NN1468",214000,768000,8,6,2001,2016
"141","NM9181",191000,781000,4,11,2001,2016
"142","NM8581",185000,781000,3,3,2001,2015
"143","NN1261",212000,761000,9,5,2001,2017
"144","NN1862",218000,762000,5,4,2001,2017
"145","NN1481",214000,781000,16,11,2001,2017
"146","NM5661",156000,761000,7,8,2001,2017
"147","NM5961",159000,761000,23,15,2001,2017
"148","NM5963",159000,763000,3,6,2001,2004
"149","NM9465",194000,765000,4,7,2001,2010
"150","NM4787",147000,787000,5,6,2001,2008
"151","NM4786",147000,786000,8,10,2001,2013
"152","NM4788",147000,788000,4,5,2001,2014
"153","NM7461",174000,761000,29,16,2001,2013
"154","NN1577",215000,777000,7,7,2001,2008
"155","NN1678",216000,778000,5,4,2001,2005
"156","NN0791",207000,791000,5,6,2001,2009
"157","NN0891",208000,791000,3,4,2001,2009
"158","NM8067",180000,767000,5,3,2001,2005
"159","NN1682",216000,782000,3,5,2001,2009
"160","NM4167",141000,767000,6,7,2001,2016
"161","NM6691",166000,791000,35,12,2001,2017
"162","NM4863",148000,763000,4,5,2001,2007
"163","NN0871",208000,771000,13,6,2001,2015
"164","NN0971",209000,771000,21,12,2001,2014
"165","NN0970",209000,770000,16,8,2001,2009
"166","NM7071",170000,771000,22,10,2001,2004
"167","NM7072",170000,772000,14,9,2001,2007
"168","NM8262",182000,762000,3,3,2001,2003
"169","NN0792",207000,792000,5,6,2001,2017
"170","NN1191",211000,791000,10,9,2001,2015
"171","NN1390",213000,790000,4,4,2001,2014
"172","NN2795",227000,795000,3,2,2001,2012
"173","NN1784",217000,784000,8,7,2001,2017
"174","NN1884",218000,784000,3,2,2001,2017
"175","NN1883",218000,783000,3,3,2001,2017
"176","NN1983",219000,783000,5,5,2001,2017
"177","NN1383",213000,783000,23,16,2001,2017
"178","NN1382",213000,782000,6,9,2001,2010
"179","NN1482",214000,782000,14,12,2001,2017
"180","NN1582",215000,782000,6,9,2001,2014
"181","NN1476",214000,776000,9,5,2001,2016
"182","NN2279",222000,779000,3,5,2001,2009
"183","NH2002",220000,802000,4,8,2001,2016
"184","NH2402",224000,802000,3,4,2001,2016
"185","NN1379",213000,779000,7,11,2001,2016
"186","NN1479",214000,779000,3,3,2001,2011
"187","NG7016",170000,816000,4,4,2002,2013
"188","NM9344",193000,744000,3,4,2002,2011
"189","NM8323",183000,723000,4,6,2002,2016
"190","NM4527",145000,727000,6,8,2002,2010
"191","NM8424",184000,724000,3,4,2002,2017
"192","NM9243",192000,743000,6,6,2002,2017
"193","NN0120",201000,720000,3,2,2002,2017
"194","NM7064",170000,764000,3,3,2002,2003
"195","NM8725",187000,725000,6,4,2002,2017
"196","NM4045",140000,745000,11,7,2002,2014
"197","NM8453",184000,753000,3,3,2002,2016
"198","NM9991",199000,791000,3,5,2002,2017
"199","NN0425",204000,725000,3,3,2002,2014
"200","NN0324",203000,724000,6,4,2002,2017
"201","NM9258",192000,758000,3,4,2002,2010
"202","NM9143",191000,743000,3,5,2002,2013
"203","NM4427",144000,727000,4,10,2002,2016
"204","NM4727",147000,727000,17,13,2002,2016
"205","NM4338",143000,738000,13,7,2002,2016
"206","NM4039",140000,739000,3,12,2002,2016
"207","NN0592",205000,792000,6,11,2002,2013
"208","NM9663",196000,763000,7,9,2002,2016
"209","NM7250",172000,750000,3,4,2002,2016
"210","NM6062",160000,762000,33,16,2002,2016
"211","NR4654",146000,654000,16,13,2001,2005
"212","NN0984",209000,784000,16,12,2002,2017
"213","NR3362",133000,662000,8,7,2001,2017
"214","NM4885",148000,785000,5,9,2002,2014
"215","NG3900",139000,8e+05,5,5,2002,2017
"216","NM4199",141000,799000,3,4,2002,2014
"217","NN1273",212000,773000,8,3,2002,2017
"218","NN2179",221000,779000,4,5,2002,2010
"219","NR4072",140000,672000,4,4,2001,2005
"220","NR3966",139000,666000,3,8,2001,2017
"221","NR4651",146000,651000,3,3,2001,2001
"222","NR3444",134000,644000,6,10,2001,2011
"223","NR4098",140000,698000,19,11,2001,2016
"224","NR3894",138000,694000,11,8,2001,2016
"225","NR2641",126000,641000,4,3,2002,2015
"226","NR4557",145000,657000,4,4,2002,2004
"227","NR2163",121000,663000,3,3,2002,2015
"228","NR3363",133000,663000,15,6,2002,2016
"229","NR9722",197000,622000,3,5,2001,2008
"230","NL9841",98000,741000,17,6,2001,2017
"231","NM0046",1e+05,746000,21,7,2001,2017
"232","NL9340",93000,740000,39,7,2001,2017
"233","NL9643",96000,743000,14,5,2001,2017
"234","NL9742",97000,742000,110,8,2001,2017
"235","NM0146",101000,746000,48,4,2001,2016
"236","NM0144",101000,744000,41,7,2001,2017
"237","NL9842",98000,742000,12,7,2001,2015
"238","NM0045",1e+05,745000,42,5,2001,2017
"239","NM0449",104000,749000,4,7,2001,2012
"240","NN0031",2e+05,731000,10,3,2001,2017
"241","NM7430",174000,730000,27,14,2001,2016
"242","NM7131",171000,731000,5,2,2001,2014
"243","NR3998",139000,698000,8,12,2001,2013
"244","NR3795",137000,695000,5,3,2001,2012
"245","NN0102",201000,702000,5,5,2001,2017
"246","NM4240",142000,740000,3,7,2001,2013
"247","NM4238",142000,738000,5,6,2001,2016
"248","NR8295",182000,695000,16,13,2001,2016
"249","NR6880",168000,680000,3,8,2001,2014
"250","NR8931",189000,631000,4,7,2001,2017
"251","NR9133",191000,633000,3,7,2001,2011
"252","NN0127",201000,727000,12,7,2001,2016
"253","NM9642",196000,742000,5,5,2001,2014
"254","NR7789",177000,689000,3,3,2001,2017
"255","NR7890",178000,690000,13,10,2001,2013
"256","NM8930",189000,730000,5,6,2001,2016
"257","NM9128",191000,728000,4,8,2001,2008
"258","NM9744",197000,744000,25,12,2001,2014
"259","NN0231",202000,731000,9,9,2001,2013
"260","NM9045",190000,745000,9,8,2001,2017
"261","NS0231",202000,631000,20,7,2001,2002
"262","NM8304",183000,704000,4,4,2001,2017
"263","NN3328",233000,728000,3,4,2001,2011
"264","NN0034",2e+05,734000,5,9,2001,2012
"265","NM8519",185000,719000,3,6,2001,2008
"266","NM8013",180000,713000,3,2,2001,2006
"267","NM2841",128000,741000,7,6,2001,2014
"268","NM9832",198000,732000,7,8,2002,2015
"269","NM9331",193000,731000,6,8,2002,2014
"270","NM8942",189000,742000,7,8,2002,2008
"271","NM9038",190000,738000,3,4,2002,2012
"272","NM9044",190000,744000,5,5,2002,2013
"273","NM8418",184000,718000,3,6,2002,2012
"274","NS3040",230000,640000,4,8,2002,2015
"275","NL9546",95000,746000,7,3,2002,2017
"276","NL9642",96000,742000,5,4,2002,2017
"277","NL9644",96000,744000,14,6,2002,2017
"278","NL9745",97000,745000,13,3,2002,2013
"279","NL9845",98000,745000,7,4,2002,2017
"280","NL9344",93000,744000,15,5,2002,2017
"281","NL9743",97000,743000,7,5,2002,2006
"282","NL9346",93000,746000,5,4,2002,2012
"283","NL9839",98000,739000,20,7,2002,2017
"284","NL9444",94000,744000,10,3,2002,2014
"285","NL9646",96000,746000,7,3,2002,2013
"286","NL9639",96000,739000,5,4,2002,2014
"287","NM2362",123000,762000,3,4,2002,2012
"288","NM1654",116000,754000,5,6,2002,2015
"289","NM2563",125000,763000,3,2,2002,2014
"290","NM1656",116000,756000,25,10,2002,2016
"291","NS0230",202000,630000,6,4,2002,2017
"292","NM4126",141000,726000,4,4,2002,2016
"293","NR7993",179000,693000,3,4,2002,2015
"294","NM7024",170000,724000,3,4,2002,2012
"295","NM9316",193000,716000,3,6,2002,2013
"296","NM5220",152000,720000,3,5,2002,2015
"297","NR6821",168000,621000,12,5,2002,2016
"298","NR6523",165000,623000,11,9,2002,2010
"299","NR6526",165000,626000,9,10,2002,2014
"300","NR8140",181000,640000,3,1,2002,2005
"301","NR7130",171000,630000,28,12,2002,2016
"302","NR7126",171000,626000,9,6,2002,2012
"303","NR7027",170000,627000,35,12,2002,2016
"304","NM9845",198000,745000,25,14,2002,2016
"305","NN0727",207000,727000,3,2,2002,2011
"306","NM4357",143000,757000,22,14,2002,2016
"307","NM4457",144000,757000,11,9,2002,2015
"308","NM4651",146000,751000,9,8,2002,2016
"309","NM4748",147000,748000,3,4,2002,2011
"310","NM4849",148000,749000,4,4,2002,2014
"311","NM5047",150000,747000,3,6,2002,2006
"312","NM5146",151000,746000,6,9,2002,2014
"313","NM4154",141000,754000,3,3,2002,2011
"314","NM9041",190000,741000,24,13,2002,2017
"315","NM5056",150000,756000,3,3,2002,2009
"316","NR8586",185000,686000,15,9,2002,2010
"317","NM9709",197000,709000,13,11,2002,2010
"318","NM3941",139000,741000,3,5,2002,2002
"319","NM3640",136000,740000,3,4,2002,2003
"320","NM9932",199000,732000,12,12,2002,2016
"321","NN0837",208000,737000,4,9,2002,2012
"322","NN1126",211000,726000,3,4,2002,2004
"323","NN0133",201000,733000,5,10,2002,2013
"324","NN0334",203000,734000,5,8,2002,2016
"325","NN0436",204000,736000,6,7,2002,2014
"326","NN0435",204000,735000,4,8,2002,2013
"327","NN0534",205000,734000,5,13,2002,2012
"328","NM9632",196000,732000,4,5,2002,2013
"329","NM4200",142000,7e+05,12,10,2002,2013
"330","NS3136",231000,636000,11,12,2002,2017
"331","NM9614",196000,714000,36,11,2002,2016
"332","NS0135",201000,635000,4,4,2002,2009
"333","NS1981",219000,681000,4,5,2002,2017
"334","NM4540",145000,740000,4,6,2002,2014
"335","NR6447",164000,647000,10,11,2002,2016
"336","NN2281",222000,781000,12,7,2003,2017
"337","NM9762",197000,762000,8,10,2004,2016
"338","NM9661",196000,761000,5,3,2003,2003
"339","NN0570",205000,770000,8,8,2003,2013
"340","NN2189",221000,789000,11,8,2003,2015
"341","NM7093",170000,793000,45,13,2003,2014
"342","NM7292",172000,792000,5,6,2003,2014
"343","NM6168",161000,768000,3,5,2003,2007
"344","NM5366",153000,766000,7,6,2003,2016
"345","NM6061",160000,761000,12,8,2003,2017
"346","NM6367",163000,767000,4,7,2003,2010
"347","NM7899",178000,799000,5,10,2003,2013
"348","NM7799",177000,799000,4,8,2003,2009
"349","NM4080",140000,780000,4,4,2003,2017
"350","NM4179",141000,779000,12,10,2003,2016
"351","NM6993",169000,793000,4,3,2003,2014
"352","NM6892",168000,792000,21,7,2003,2017
"353","NN2880",228000,780000,3,2,2003,2011
"354","NN2781",227000,781000,5,4,2003,2016
"355","NN1277",212000,777000,3,4,2003,2015
"356","NN2580",225000,780000,3,2,2003,2007
"357","NN2381",223000,781000,8,4,2003,2012
"358","NG2705",127000,805000,8,5,2003,2017
"359","NN1970",219000,770000,4,1,2003,2009
"360","NN1870",218000,770000,3,1,2003,2009
"361","NN1769",217000,769000,5,2,2003,2014
"362","NN1869",218000,769000,4,1,2003,2009
"363","NH2302",223000,802000,3,4,2003,2014
"364","NG3603",136000,803000,8,8,2003,2017
"365","NM6864",168000,764000,4,4,2003,2014
"366","NN1770",217000,770000,3,1,2003,2006
"367","NN1372",213000,772000,3,2,2003,2009
"368","NM9764",197000,764000,5,8,2003,2016
"369","NN0179",201000,779000,22,15,2003,2017
"370","NG8112",181000,812000,3,4,2003,2009
"371","NG9913",199000,813000,4,4,2003,2010
"372","NM6270",162000,770000,3,6,2003,2016
