"easting","northing","n50m","mean","min","max"
81000,816000,400,24.179249972105,6.69999980926514,88.4000015258789
82000,816000,286,21.2902097818735,-1.79999995231628,44.2999992370605
139000,816000,353,23.5538244421354,-1.79999995231628,75.5999984741211
140000,816000,326,61.7917177881931,-1.79999995231628,128.300003051758
141000,816000,228,104.549999723832,-1.79999995231628,174.199996948242
142000,816000,102,87.1529408249201,-1.79999995231628,145
143000,816000,55,33.1072725501927,-1.79999995231628,76.9000015258789
144000,816000,4,-0.624999940395355,-1.79999995231628,2.90000009536743
146000,816000,15,4.67333337465922,-1.79999995231628,26.6000003814697
147000,816000,17,0.235294138683992,-1.79999995231628,2.90000009536743
151000,816000,35,38.4199999468667,-1.79999995231628,108.300003051758
152000,816000,397,97.7249373271123,-1.79999995231628,236.399993896484
153000,816000,400,233.317249832153,91.5,329.799987792969
154000,816000,400,113.145000257492,35.5,282.100006103516
155000,816000,193,28.3093262956782,-1.89999997615814,68.8000030517578
156000,816000,6,-1.24999996895591,-1.79999995231628,0.100000001490116
158000,816000,167,47.9682631718809,-1.79999995231628,99
159000,816000,400,145.133999843597,66.8000030517578,200.899993896484
160000,816000,400,188.996250107288,14.3000001907349,263.899993896484
161000,816000,380,95.5515791150888,-1.89999997615814,267.700012207031
162000,816000,356,72.3314605462626,-1.89999997615814,165.399993896484
163000,816000,400,88.7902498722076,36.4000015258789,163.199996948242
164000,816000,370,31.4248648643494,-1.89999997615814,103.900001525879
165000,816000,325,28.4347692085917,-1.89999997615814,60.4000015258789
166000,816000,199,27.5663316872851,-1.89999997615814,63.4000015258789
167000,816000,356,35.1249999321076,-1.89999997615814,99.5999984741211
168000,816000,400,27.3015000128746,11.6000003814697,55.4000015258789
169000,816000,400,18.0994999748468,3.09999990463257,45.9000015258789
170000,816000,400,93.2875001358986,-1.89999997615814,246.899993896484
171000,816000,400,330.814499588013,209,431.600006103516
172000,816000,400,324.415250282288,158.399993896484,415.899993896484
173000,816000,400,161.002250287533,11.8999996185303,290.700012207031
174000,816000,368,109.080163245292,-1.89999997615814,225.300003051758
175000,816000,181,94.4331491059361,-1.89999997615814,178.100006103516
178000,816000,279,85.0949821373895,-1.89999997615814,186
179000,816000,400,193.68875005126,7.09999990463257,262.700012207031
180000,816000,400,217.108000335693,137.899993896484,299.899993896484
181000,816000,400,231.126500225067,72.6999969482422,331.200012207031
182000,816000,400,243.077999897003,80.5999984741211,416
183000,816000,400,192.560000076294,32.2000007629395,371
184000,816000,400,103.189749889374,36.5999984741211,269.799987792969
185000,816000,400,146.439500379562,51.2000007629395,251.800003051758
186000,816000,400,254.649000167847,129,328.799987792969
187000,816000,400,187.783499832153,134.899993896484,290.600006103516
188000,816000,400,207.061500244141,112.599998474121,439.5
189000,816000,400,190.419999828339,119.099998474121,358.799987792969
190000,816000,400,315.120249824524,158.100006103516,670.5
191000,816000,400,504.153749923706,343.899993896484,671.200012207031
192000,816000,400,415.375250473022,167,686.700012207031
193000,816000,400,166.123499603271,74.9000015258789,327.299987792969
194000,816000,400,316.191249809265,90.9000015258789,510.200012207031
195000,816000,400,42.4720000338554,6,249.300003051758
196000,816000,400,292.909250764847,22.7999992370605,707
197000,816000,400,788.670499572754,453.5,1058.90002441406
198000,816000,400,769.471748657227,533.700012207031,990.400024414062
199000,816000,400,652.835250320435,367.600006103516,882
2e+05,816000,400,275.935499401093,64,580.799987792969
201000,816000,400,302.506499118805,58.5999984741211,720.5
202000,816000,400,395.36400062561,155.399993896484,629.099975585938
203000,816000,400,504.909250106811,262.600006103516,740.299987792969
204000,816000,400,501.028000183105,338.200012207031,711.700012207031
205000,816000,400,529.147251281738,369.799987792969,910.099975585938
206000,816000,400,774.058749084473,555.299987792969,975.599975585938
207000,816000,400,464.330249252319,392.399993896484,675.200012207031
208000,816000,400,680.414248657227,450.700012207031,972.900024414062
209000,816000,400,858.334749755859,716.700012207031,1055.59997558594
210000,816000,400,614.207250900269,439.299987792969,771.099975585938
211000,816000,400,508.504748916626,348.100006103516,790
212000,816000,400,434.585499649048,330.100006103516,629.700012207031
213000,816000,400,798.946501159668,549,974.400024414062
214000,816000,400,743.829500732422,555,924.700012207031
215000,816000,400,650.932001190186,522,788.599975585938
216000,816000,400,617.08549911499,480.5,770.5
217000,816000,400,484.225250091553,433.100006103516,675.299987792969
218000,816000,400,731.391749572754,577.900024414062,845.599975585938
219000,816000,400,550.455249938965,462.100006103516,738.5
220000,816000,400,474.089999771118,427.899993896484,580.299987792969
221000,816000,400,469.809749755859,423.899993896484,583
222000,816000,400,464.134000549316,403.799987792969,570.200012207031
223000,816000,400,509.655000076294,433.899993896484,580.5
224000,816000,400,460.915749816895,423.799987792969,531.5
225000,816000,400,424.429000015259,355.100006103516,494.899993896484
226000,816000,400,415.182750167847,383.5,438.200012207031
227000,816000,400,385.519499740601,329.100006103516,443.200012207031
228000,816000,400,386.687249832153,329.899993896484,453.600006103516
229000,816000,400,419.945250167847,330.100006103516,512.5
230000,816000,400,402.99124961853,317.200012207031,504.899993896484
231000,816000,400,457.83549949646,368.600006103516,547.900024414062
232000,816000,400,414.51200012207,342.100006103516,520
138000,816000,53,11.2471698635029,-1.79999995231628,29.5
177000,816000,35,30.1628570760999,-1.89999997615814,67.4000015258789
145000,816000,57,13.3912280275111,-1.79999995231628,33
83000,816000,12,4.28333344062169,-1.79999995231628,25.7000007629395
81000,815000,400,60.1669999432564,6.69999980926514,174.100006103516
82000,815000,388,36.9378868212405,-1.79999995231628,155.600006103516
83000,815000,306,22.6892157796941,-1.79999995231628,90.3000030517578
