"","km_sq","Presence","easting","northing"
"738","NM9644",1,196000,744000
"739","NM9661",1,196000,761000
"740","NM9663",1,196000,763000
"741","NM9665",0,196000,765000
"742","NM9679",1,196000,779000
"743","NM9680",1,196000,780000
"744","NM9689",1,196000,789000
"745","NM9690",1,196000,790000
"746","NM9692",1,196000,792000
"747","NM9709",0,197000,709000
"748","NM9733",1,197000,733000
"749","NM9738",1,197000,738000
"750","NM9739",1,197000,739000
"751","NM9744",1,197000,744000
"752","NM9745",1,197000,745000
"753","NM9753",1,197000,753000
"754","NM9755",0,197000,755000
"755","NM9756",0,197000,756000
"756","NM9762",1,197000,762000
"757","NM9763",1,197000,763000
"758","NM9764",0,197000,764000
"759","NM9782",1,197000,782000
"760","NM9791",1,197000,791000
"761","NM9792",1,197000,792000
"762","NM9816",0,198000,716000
"763","NM9817",0,198000,717000
"764","NM9818",0,198000,718000
"765","NM9825",0,198000,725000
"766","NM9830",1,198000,730000
"767","NM9832",1,198000,732000
"768","NM9833",1,198000,733000
"769","NM9835",1,198000,735000
"770","NM9844",1,198000,744000
"771","NM9845",1,198000,745000
"772","NM9853",1,198000,753000
"773","NM9854",0,198000,754000
"774","NM9862",1,198000,762000
"775","NM9891",1,198000,791000
"776","NM9917",0,199000,717000
"777","NM9918",0,199000,718000
"778","NM9928",1,199000,728000
"779","NM9929",1,199000,729000
"780","NM9930",1,199000,730000
"781","NM9931",1,199000,731000
"782","NM9932",1,199000,732000
"783","NM9933",1,199000,733000
"784","NM9935",0,199000,735000
"785","NM9943",1,199000,743000
"786","NM9944",1,199000,744000
"787","NM9945",1,199000,745000
"788","NM9946",1,199000,746000
"789","NM9954",0,199000,754000
"790","NM9963",0,199000,763000
"791","NM9978",0,199000,778000
"792","NM9991",1,199000,791000
"793","NM9992",1,199000,792000
"794","NN0018",0,2e+05,718000
"795","NN0027",1,2e+05,727000
"796","NN0028",1,2e+05,728000
"797","NN0030",1,2e+05,730000
"798","NN0031",1,2e+05,731000
"799","NN0034",1,2e+05,734000
"800","NN0044",1,2e+05,744000
"801","NN0045",1,2e+05,745000
"802","NN0046",1,2e+05,746000
"803","NN0056",1,2e+05,756000
"804","NN0057",0,2e+05,757000
"805","NN0078",0,2e+05,778000
"806","NN0079",0,2e+05,779000
"807","NN0092",1,2e+05,792000
"808","NN0102",0,201000,702000
"809","NN0103",0,201000,703000
"810","NN0120",0,201000,720000
"811","NN0127",1,201000,727000
"812","NN0129",1,201000,729000
"813","NN0130",0,201000,730000
"814","NN0131",0,201000,731000
"815","NN0132",0,201000,732000
"816","NN0133",1,201000,733000
"817","NN0146",1,201000,746000
"818","NN0147",1,201000,747000
"819","NN0158",0,201000,758000
"820","NN0178",1,201000,778000
"821","NN0179",1,201000,779000
"822","NN0181",1,201000,781000
"823","NN0230",1,202000,730000
"824","NN0231",0,202000,731000
"825","NN0233",1,202000,733000
"826","NN0246",1,202000,746000
"827","NN0247",1,202000,747000
"828","NN0248",1,202000,748000
"829","NN0261",0,202000,761000
"830","NN0263",0,202000,763000
"831","NN0278",1,202000,778000
"832","NN0279",1,202000,779000
"833","NN0280",1,202000,780000
"834","NN0282",1,202000,782000
"835","NN0324",0,203000,724000
"836","NN0326",1,203000,726000
"837","NN0329",1,203000,729000
"838","NN0330",0,203000,730000
"839","NN0332",1,203000,732000
"840","NN0333",1,203000,733000
"841","NN0334",1,203000,734000
"842","NN0335",1,203000,735000
"843","NN0345",1,203000,745000
"844","NN0348",1,203000,748000
"845","NN0349",1,203000,749000
"846","NN0359",0,203000,759000
"847","NN0361",0,203000,761000
"848","NN0362",1,203000,762000
"849","NN0363",1,203000,763000
"850","NN0364",0,203000,764000
"851","NN0369",1,203000,769000
"852","NN0378",0,203000,778000
"853","NN0425",0,204000,725000
"854","NN0428",1,204000,728000
"855","NN0429",1,204000,729000
"856","NN0435",1,204000,735000
"857","NN0436",1,204000,736000
"858","NN0437",1,204000,737000
"859","NN0448",1,204000,748000
"860","NN0449",1,204000,749000
"861","NN0450",1,204000,750000
"862","NN0469",1,204000,769000
"863","NN0470",1,204000,770000
"864","NN0534",1,205000,734000
