"","km_sq","easting","northing","Presence"
"1","NM7178",171250,778650,1
"3","NM7462",174550,762250,1
"4","NM8263",182500,763500,1
"5","NM8782",187350,782150,1
"6","NM9146",191750,746550,1
"7","NM9544",195350,744750,1
"8","NM9560",195750,760750,1
"9","NM9744",197850,744850,1
"10","NM9745",197950,745050,1
"11","NM9762",197550,762350,1
"12","NM9844",198050,744850,1
"13","NM9845",198050,745050,1
"14","NM9944",199050,744950,1
"15","NM9945",199500,745500,1
"16","NM9946",199750,746050,1
"17","NN0045",200500,745500,1
"18","NN0046",200050,746050,1
"19","NN0233",202650,733850,1
"21","NN0280",202500,780500,1
"22","NN0334",203650,734350,1
"23","NN0335",203950,735150,1
"25","NN0435",204050,735250,1
"26","NN0436",204550,736750,1
"27","NN0791",207450,791950,1
"28","NN0792",207550,792050,1
"29","NN0841",208850,741250,1
"30","NN0871",208850,771350,1
"31","NN0941",209050,741850,1
"32","NN0942",209450,742550,1
"33","NN0943",209950,743250,1
"34","NN0971",209650,771250,1
"35","NN0984",209450,784750,1
"36","NN1043",210050,743250,1
"37","NN1044",210350,744050,1
"38","NN1084",210150,784550,1
"39","NN1091",210150,791350,1
"40","NN1145",211050,745350,1
"41","NN1161",211850,761250,1
"42","NN1183",211350,783950,1
"43","NN1191",211500,791500,1
"44","NN1245",212350,745950,1
"45","NN1246",212050,746050,1
"46","NN1261",212250,761050,1
"47","NN1283",212150,783450,1
"48","NN1291",212500,791500,1
"49","NN1361",213050,761350,1
"50","NN1378",213550,778550,1
"51","NN1379",213850,779050,1
"52","NN1382",213850,782450,1
"53","NN1482",214150,782250,1
"54","NN1580",215050,780450,1
"56","NN1589",215500,789500,1
"57","NN1681",216150,781850,1
"58","NN1682",216550,782450,1
"59","NN1683",216750,783450,1
"60","NN1987",219150,787950,1
"61","NN2078",220550,778150,1
"62","NN2079",220950,779950,1
"63","NN2178",221250,778650,1
"64","NN2179",221750,779550,1
"65","NN2379",223050,779850,1
"66","NN2381",223550,781550,1
"67","NN2479",224050,779850,1
"68","NN2481",224850,781150,1
