"","km_sq","easting","northing","nR","nSpp","minyear","maxyear"
"355","NM9663",196000,763000,7,9,2002,2016
"356","NM7250",172000,750000,3,4,2002,2016
"357","NM6062",160000,762000,33,16,2002,2016
"358","NR4654",146000,654000,16,13,2001,2005
"359","NM8761",187000,761000,1,1,2002,2002
"360","NM8461",184000,761000,2,5,2002,2004
"361","NG8211",182000,811000,1,1,2002,2002
"362","NN0984",209000,784000,16,12,2002,2017
"363","NR3362",133000,662000,8,7,2001,2017
"364","NM3495",134000,795000,1,1,2002,2002
"365","NM3595",135000,795000,1,1,2002,2002
"366","NM4885",148000,785000,5,9,2002,2014
"367","NG3900",139000,8e+05,5,5,2002,2017
"368","NG4000",140000,8e+05,2,7,2002,2004
"369","NM3599",135000,799000,2,3,2002,2004
"370","NM3699",136000,799000,1,2,2002,2002
"371","NM4199",141000,799000,3,4,2002,2014
"372","NM8482",184000,782000,1,1,2002,2002
"373","NM5063",150000,763000,2,3,2002,2004
"374","NM4763",147000,763000,2,2,2002,2004
"375","NM7466",174000,766000,1,1,2002,2002
"376","NN1172",211000,772000,2,4,2002,2013
"377","NN1273",212000,773000,8,3,2002,2017
"378","NG5214",152000,814000,2,2,2002,2013
"379","NN2380",223000,780000,1,1,2002,2002
"380","NN2179",221000,779000,4,5,2002,2010
"381","NN1171",211000,771000,1,1,2002,2002
"382","NN1270",212000,770000,1,1,2002,2002
"383","NN2480",224000,780000,1,1,2002,2002
"384","NR2365",123000,665000,2,5,2001,2011
"385","NR4270",142000,670000,1,2,2001,2001
"386","NR3171",131000,671000,2,2,2001,2004
"387","NR5571",155000,671000,2,5,2001,2005
"388","NR3457",134000,657000,1,1,2001,2001
"389","NR4072",140000,672000,4,4,2001,2005
"390","NR3966",139000,666000,3,8,2001,2017
"391","NR4651",146000,651000,3,3,2001,2001
"392","NR3444",134000,644000,6,10,2001,2011
"393","NR4098",140000,698000,19,11,2001,2016
"394","NR3894",138000,694000,11,8,2001,2016
"395","NR2641",126000,641000,4,3,2002,2015
"396","NR2371",123000,671000,2,2,2002,2004
"397","NR4557",145000,657000,4,4,2002,2004
"398","NR2163",121000,663000,3,3,2002,2015
"399","NR3363",133000,663000,15,6,2002,2016
"400","NR9722",197000,622000,3,5,2001,2008
"401","NS0129",201000,629000,2,3,2001,2001
"402","NR9129",191000,629000,1,1,2001,2001
"403","NL9841",98000,741000,17,6,2001,2017
"404","NM0046",1e+05,746000,21,7,2001,2017
"405","NL9340",93000,740000,39,7,2001,2017
"406","NL9643",96000,743000,14,5,2001,2017
"407","NL9742",97000,742000,110,8,2001,2017
"408","NM0146",101000,746000,48,4,2001,2016
"409","NM0144",101000,744000,41,7,2001,2017
"410","NL9842",98000,742000,12,7,2001,2015
"411","NM0045",1e+05,745000,42,5,2001,2017
"412","NM0449",104000,749000,4,7,2001,2012
"413","NN0031",2e+05,731000,10,3,2001,2017
"414","NM7027",170000,727000,1,2,2001,2001
"415","NM7430",174000,730000,27,14,2001,2016
"416","NM7131",171000,731000,5,2,2001,2014
"417","NR3998",139000,698000,8,12,2001,2013
"418","NR3795",137000,695000,5,3,2001,2012
"419","NR7670",176000,670000,2,1,2001,2004
"420","NN0102",201000,702000,5,5,2001,2017
"421","NM4240",142000,740000,3,7,2001,2013
"422","NM5244",152000,744000,2,4,2001,2004
"423","NM4238",142000,738000,5,6,2001,2016
"424","NM5644",156000,744000,2,2,2001,2004
"425","NM5444",154000,744000,1,2,2001,2001
"426","NR8295",182000,695000,16,13,2001,2016
"427","NR8094",180000,694000,2,2,2001,2013
"428","NR8093",180000,693000,2,2,2001,2013
"429","NR6880",168000,680000,3,8,2001,2014
"430","NR7576",175000,676000,1,1,2001,2001
"431","NR8933",189000,633000,2,2,2001,2009
"432","NR8931",189000,631000,4,7,2001,2017
"433","NR9133",191000,633000,3,7,2001,2011
"434","NR9233",192000,633000,1,1,2001,2001
"435","NN0127",201000,727000,12,7,2001,2016
"436","NM9435",194000,735000,1,1,2001,2001
"437","NM9640",196000,740000,2,3,2001,2010
"438","NM9642",196000,742000,5,5,2001,2014
"439","NR7789",177000,689000,3,3,2001,2017
"440","NR7890",178000,690000,13,10,2001,2013
"441","NM8930",189000,730000,5,6,2001,2016
"442","NM9128",191000,728000,4,8,2001,2008
"443","NM9744",197000,744000,25,12,2001,2014
"444","NN0231",202000,731000,9,9,2001,2013
"445","NS3084",230000,684000,1,2,2001,2001
"446","NS2984",229000,684000,2,6,2001,2004
"447","NM9045",190000,745000,9,8,2001,2017
"448","NS2376",223000,676000,2,2,2001,2017
"449","NS0231",202000,631000,20,7,2001,2002
"450","NR9448",194000,648000,2,5,2001,2017
"451","NN2324",223000,724000,2,1,2001,2005
"452","NM8304",183000,704000,4,4,2001,2017
"453","NN3328",233000,728000,3,4,2001,2011
"454","NR9783",197000,683000,2,2,2001,2017
"455","NS2257",222000,657000,1,1,2001,2001
"456","NN0034",2e+05,734000,5,9,2001,2012
"457","NM8420",184000,720000,2,2,2001,2004
"458","NM8519",185000,719000,3,6,2001,2008
"459","NM8013",180000,713000,3,2,2001,2006
"460","NM2841",128000,741000,7,6,2001,2014
"461","NM9832",198000,732000,7,8,2002,2015
"462","NM9331",193000,731000,6,8,2002,2014
"463","NM9242",192000,742000,2,2,2002,2005
"464","NM8942",189000,742000,7,8,2002,2008
"465","NM8938",189000,738000,1,1,2002,2002
"466","NM9038",190000,738000,3,4,2002,2012
"467","NR9593",195000,693000,2,2,2002,2003
"468","NM9044",190000,744000,5,5,2002,2013
"469","NM8418",184000,718000,3,6,2002,2012
"470","NS3040",230000,640000,4,8,2002,2015
"471","NL9546",95000,746000,7,3,2002,2017
"472","NL9642",96000,742000,5,4,2002,2017
"473","NL9644",96000,744000,14,6,2002,2017
"474","NL9745",97000,745000,13,3,2002,2013
"475","NL9845",98000,745000,7,4,2002,2017
"476","NL9344",93000,744000,15,5,2002,2017
"477","NL9743",97000,743000,7,5,2002,2006
"478","NL9346",93000,746000,5,4,2002,2012
"479","NL9839",98000,739000,20,7,2002,2017
"480","NL9444",94000,744000,10,3,2002,2014
"481","NL9646",96000,746000,7,3,2002,2013
"482","NL9343",93000,743000,2,3,2002,2014
"483","NL9639",96000,739000,5,4,2002,2014
"484","NM2362",123000,762000,3,4,2002,2012
"485","NM1654",116000,754000,5,6,2002,2015
"486","NM1151",111000,751000,1,1,2002,2002
"487","NM1251",112000,751000,1,1,2002,2002
"488","NM2363",123000,763000,2,3,2002,2006
"489","NM2563",125000,763000,3,2,2002,2014
"490","NM1656",116000,756000,25,10,2002,2016
"491","NS0230",202000,630000,6,4,2002,2017
"492","NM4126",141000,726000,4,4,2002,2016
"493","NM5119",151000,719000,2,2,2002,2015
"494","NR7993",179000,693000,3,4,2002,2015
"495","NM7025",170000,725000,1,2,2002,2002
"496","NM7024",170000,724000,3,4,2002,2012
"497","NM6924",169000,724000,2,2,2002,2011
"498","NM9316",193000,716000,3,6,2002,2013
"499","NM5220",152000,720000,3,5,2002,2015
"500","NM3822",138000,722000,2,2,2002,2010
"501","NM5028",150000,728000,2,4,2002,2011
"502","NM7026",170000,726000,1,3,2002,2002
"503","NM5630",156000,730000,2,3,2002,2011
"504","NR6821",168000,621000,12,5,2002,2016
"505","NR7844",178000,644000,1,1,2002,2002
"506","NR7144",171000,644000,2,2,2002,2003
"507","NR7940",179000,640000,2,3,2002,2005
"508","NR6523",165000,623000,11,9,2002,2010
"509","NR7543",175000,643000,1,1,2002,2002
"510","NN1207",212000,707000,2,6,2002,2014
"511","NR6526",165000,626000,9,10,2002,2014
"512","NR6937",169000,637000,2,1,2002,2005
"513","NR8137",181000,637000,2,3,2002,2017
"514","NR8140",181000,640000,3,1,2002,2005
"515","NR7130",171000,630000,28,12,2002,2016
"516","NR7126",171000,626000,9,6,2002,2012
"517","NR7027",170000,627000,35,12,2002,2016
"518","NR6527",165000,627000,2,2,2002,2010
"519","NS2987",229000,687000,2,2,2002,2004
"520","NS2070",220000,670000,1,1,2002,2002
"521","NR4650",146000,650000,2,8,2002,2011
"522","NR3973",139000,673000,1,1,2002,2002
"523","NR4073",140000,673000,1,1,2002,2002
"524","NM9845",198000,745000,25,14,2002,2016
"525","NN0727",207000,727000,3,2,2002,2011
"526","NM9655",196000,755000,1,1,2002,2002
"527","NR2965",129000,665000,2,3,2002,2013
"528","NM4357",143000,757000,22,14,2002,2016
"529","NM4457",144000,757000,11,9,2002,2015
"530","NM4452",144000,752000,2,6,2002,2015
"531","NM4550",145000,750000,1,3,2002,2002
"532","NM4649",146000,749000,1,2,2002,2002
"533","NM4651",146000,751000,9,8,2002,2016
"534","NM4055",140000,755000,1,5,2002,2002
"535","NM4750",147000,750000,2,2,2002,2014
"536","NM4748",147000,748000,3,4,2002,2011
"537","NM4849",148000,749000,4,4,2002,2014
"538","NM4847",148000,747000,2,5,2002,2014
"539","NM4946",149000,746000,1,3,2002,2002
"540","NM5047",150000,747000,3,6,2002,2006
"541","NM5146",151000,746000,6,9,2002,2014
"542","NM5147",151000,747000,1,2,2002,2002
"543","NR3249",132000,649000,2,2,2002,2005
"544","NR3250",132000,650000,1,1,2002,2002
"545","NM4056",140000,756000,1,3,2002,2002
"546","NM4156",141000,756000,2,7,2002,2007
"547","NM4155",141000,755000,2,5,2002,2007
"548","NM4154",141000,754000,3,3,2002,2011
"549","NM9041",190000,741000,24,13,2002,2017
"550","NM5056",150000,756000,3,3,2002,2009
"551","NR8586",185000,686000,15,9,2002,2010
"552","NM9709",197000,709000,13,11,2002,2010
"553","NM3941",139000,741000,3,5,2002,2002
"554","NM3640",136000,740000,3,4,2002,2003
"555","NM3942",139000,742000,1,2,2002,2002
"556","NM3741",137000,741000,1,2,2002,2002
"557","NM3740",137000,740000,1,4,2002,2002
"558","NM4041",140000,741000,1,5,2002,2002
"559","NM4140",141000,740000,2,5,2002,2004
"560","NM3940",139000,740000,1,1,2002,2002
"561","NM4141",141000,741000,1,1,2002,2002
"562","NM9932",199000,732000,12,12,2002,2016
"563","NN0322",203000,722000,1,1,2002,2002
"564","NN0837",208000,737000,4,9,2002,2012
"565","NN0227",202000,727000,1,2,2002,2002
"566","NN1126",211000,726000,3,4,2002,2004
"567","NM9836",198000,736000,1,1,2002,2002
"568","NN0133",201000,733000,5,10,2002,2013
"569","NN0334",203000,734000,5,8,2002,2016
"570","NN0436",204000,736000,6,7,2002,2014
"571","NN0435",204000,735000,4,8,2002,2013
"572","NN0534",205000,734000,5,13,2002,2012
"573","NM9632",196000,732000,4,5,2002,2013
"574","NM4200",142000,7e+05,12,10,2002,2013
"575","NS3136",231000,636000,11,12,2002,2017
"576","NM9614",196000,714000,36,11,2002,2016
"577","NS0135",201000,635000,4,4,2002,2009
